transaction_date,description,debit,credit,balance,reference,currency
2026-04-06,ACME PAYROLL LTD,,2850.00,2850.00,SALARY-APR-2026,GBP
2026-04-07,DIRECT DEBIT TO CITY LETTINGS,1250.00,,1600.00,RENT-APR-2026,GBP
2026-04-08,DIRECT DEBIT COUNCIL TAX,154.50,,1445.50,COUNCIL-TAX-APR,GBP
2026-04-09,TESCO STORES 1234,63.28,,1382.22,TESCO-1234-0409,GBP
2026-04-10,TFL TRAVEL CHARGE,8.50,,1373.72,TFL-20260410,GBP
2026-04-12,OCTOPUS ENERGY,92.00,,1281.72,ENERGY-APR-2026,GBP
2026-04-15,NETFLIX.COM,10.99,,1270.73,NETFLIX-APR-2026,GBP
2026-04-18,M&S FOODHALL,34.70,,1236.03,MS-FOOD-0418,GBP
2026-04-22,TRANSFER TO SAVINGS,200.00,,1036.03,SAVINGS-TRANSFER-0422,GBP
2026-04-28,FREELANCE CLIENT PAYMENT,,450.00,1486.03,INV-2026-041,GBP
